codigo_nacional;altura;año;mes;dia;t_min;t_max;nombre;latitud;longitud;zona_geografica;fecha;t_med
270008;197;2013;1;10;16,1;24,1;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-10;NA
270008;197;2013;1;11;17,4;22,6;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-11;NA
270008;197;2013;1;12;17,1;24,6;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-12;NA
270008;197;2013;1;13;15,7;24,7;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-13;NA
270008;197;2013;1;14;14,4;24,4;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-14;NA
270008;197;2013;1;15;15,9;25,5;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-15;NA
270008;197;2013;1;16;16,9;25,6;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-16;NA
270008;197;2013;1;17;15,5;25,6;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-17;NA
270008;197;2013;1;18;15,9;24,4;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-18;NA
270008;197;2013;1;19;18,6;25,5;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-19;NA
270008;197;2013;1;20;17,6;21,7;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-20;NA
270008;197;2013;1;21;15,9;24,0;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-21;NA
270008;197;2013;1;22;14,5;24,2;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-22;NA
270008;197;2013;1;23;17,7;25,0;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-23;NA
270008;197;2013;1;24;18,2;25,8;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-24;NA
270008;197;2013;1;25;15,0;25,6;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-25;NA
270008;197;2013;1;26;16,1;25,5;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-26;NA
270008;197;2013;1;27;18,3;25,5;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-27;NA
270008;197;2013;1;28;15,3;24,9;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-28;NA
270008;197;2013;1;29;14,4;22,5;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-29;NA
270008;197;2013;1;30;16,2;23,7;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-30;NA
270008;197;2013;1;31;17,1;24,9;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-31;NA
290004;137;2013;1;1;11,8;20,1;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-01;NA
290004;137;2013;1;2;15,1;19,7;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-02;NA
290004;137;2013;1;3;15,1;21,9;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-03;NA
290004;137;2013;1;4;12,4;21,3;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-04;NA
290004;137;2013;1;5;13,1;21,6;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-05;NA
290004;137;2013;1;6;13,0;21,2;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-06;NA
290004;137;2013;1;7;16,1;21,4;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-07;NA
290004;137;2013;1;8;13,5;21,3;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-08;NA
290004;137;2013;1;9;13,5;20,1;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-09;NA
290004;137;2013;1;10;15,6;21,4;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-10;NA
290004;137;2013;1;11;15,7;20,3;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-11;NA
290004;137;2013;1;12;15,8;21,5;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-12;NA
290004;137;2013;1;13;14,6;22,8;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-13;NA
290004;137;2013;1;14;14,1;23,1;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-14;NA
290004;137;2013;1;15;15,4;23,9;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-15;NA
290004;137;2013;1;16;15,3;23,0;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-16;NA
290004;137;2013;1;17;16,9;23,8;La Florida, La Serena Ad.;-29,91444;-71,20667;Secano Costero;2013-01-17;NA
