...1;nombre;region;provincia;comuna;hogares;hectareas;area;observaciones;año;tipo
1094;Villa Frontera;Arica y Parinacota;Arica;Arica;32;5,83683164;52260,517749830;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2022;normales
1095;La Negra;Antofagasta;Antofagasta;Antofagasta;47;9,72066424;80996,173241425;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1096;Villa El Esfuerzo;Antofagasta;Antofagasta;Mejillones;37;0,39655727;3338,573626170;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2011;normales
1098;Victor Jara (Macro Campamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;30;0,25944034;2168,114796035;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
1099;América Unida (Macro Campamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;174;2,35053197;19641,095229815;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;grandes
1101;Ecuachilepe (Macro Campamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;131;2,42651492;20275,970919845;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;grandes
1102;Futuro Antofagasta (Macro Campamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;115;1,34518865;11241,168680620;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;grandes
1103;Irarrazabal Etapa I (Macrocampamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;55;1,37263536;11469,311823120;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;grandes
1104;Mujeres Emprendedoras (Macro Campamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;79;0,32821916;2742,745582390;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;grandes
1105;Fenapo;Arica y Parinacota;Arica;Arica;20;0,41472567;3710,701974370;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;normales
1107;Pantaleón Cortes (Macrocampamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;91;0,83491216;6976,625011765;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;grandes
1108;Toma N°4;Arica y Parinacota;Arica;Arica;118;18,05197587;161645,400327790;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;grandes
1109;Un Techo Para Mi Pueblo Latino (Macro Campamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;601;9,40210172;78567,253984505;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1110;Villa El Solar;Arica y Parinacota;Arica;Arica;254;2,74319571;24539,476458860;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;grandes
1111;Villa Esperanza (Macro Campamento Balmaceda);Antofagasta;Antofagasta;Antofagasta;147;0,30455629;2545,137729575;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;grandes
1112;La Quebrada (Macro Campamento La Chimba);Antofagasta;Antofagasta;Antofagasta;75;1,23987295;10369,335002360;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;grandes
1113;Vista Hermosa;Arica y Parinacota;Arica;Arica;38;1,58019057;14146,535515235;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;normales
1114;Luz Divina Vi (Macro Campamento La Chimba);Antofagasta;Antofagasta;Antofagasta;101;1,04811477;8765,856556060;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;grandes
1115;Villa Los Laureles;Arica y Parinacota;Arica;Arica;114;11,72416670;104975,699522060;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;grandes
1116;Sol Saliente;Antofagasta;Antofagasta;Antofagasta;79;1,31205600;10973,865879115;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;grandes
1117;Unión sin Frontera;Valparaíso;Valparaíso;Valparaíso;80;3,93804678;27569,833394050;NUEVO CAMPAMENTO;NA;grandes
1118;El Bosque;Antofagasta;Antofagasta;Antofagasta;245;2,48605198;20779,923536190;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;grandes
1120;Eulogio Gordo;Antofagasta;Antofagasta;Antofagasta;93;0,87460547;7310,384340075;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1122;Nuevo Amanecer Latino;Antofagasta;Antofagasta;Antofagasta;44;0,48828452;4081,406798665;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1123;18 de Septiembre;Biobío;Concepción;Talcahuano;15;0,99728786;6409,795349800;NUEVO CAMPAMENTO;NA;normales
1124;Rayito De Sol;Antofagasta;Antofagasta;Antofagasta;34;0,51392316;4295,781721135;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1126;Rayito Esperanza;Antofagasta;Antofagasta;Antofagasta;116;1,47381342;12319,246308550;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
